annonce_id,date_publication,titre,ville,quartier,type_bien,transaction,prix,surface,nb_chambres,nb_salles_bain,etage,annee_construction,prix_par_m2,age_estime,categorie_prix,cat_surface,annee,mois,trimestre
ANO000708,2023-01-01,Villa moderne Agadir,Agadir,Talborjt,Villa,Vente,2592302.14,248.46,6,4,0,2007,10433.48,19,Haut standing,Grand,2023,1,1
ANO001039,2023-01-01,Appartement à vente - Kenitra,Kénitra,Hay Essalam,Appartement,Vente,2155591.49,91.29,2,1,2,2008,23612.57,18,Haut standing,Moyen,2023,1,1
ANO000870,2023-01-02,Bureau à vente - Tétouan,Tétouan,M'diq,Bureau,Vente,317773.58,155.88,0,0,1,2020,2038.58,6,Économique,Grand,2023,1,1
ANO000883,2023-01-03,Terrain à location - Meknès,Meknès,Ville Nouvelle,Terrain,Location,2755.39,12.0,0,0,0,2010,229.62,16,Économique,Petit,2023,1,1
ANO001275,2023-01-03,Beau Villa Meknès,Meknès,Hamria,Villa,Vente,2177553.48,264.6,4,2,0,2004,8229.6,22,Haut standing,Grand,2023,1,1
ANO000036,2023-01-03,Appartement 132m² Meknès,Meknès,Ville Nouvelle,Appartement,Vente,598486.1,132.15,1,1,2,2011,4528.84,15,Moyen,Moyen,2023,1,1
ANO001170,2023-01-05,Villa 290m² Marrakech,Marrakech,Medina,Villa,Vente,2169498.01,290.02,4,3,0,2005,7480.51,21,Haut standing,Grand,2023,1,1
ANO000385,2023-01-07,Villa 144m² Ville Nouvelle,Fès,Ville Nouvelle,Villa,Vente,1880519.13,144.15,4,2,0,2024,13045.57,2,Haut standing,Moyen,2023,1,1
ANO000383,2023-01-09,Beau Appartement Kenitra,Kénitra,Centre,Appartement,Vente,1561489.97,49.0,2,1,4,2022,31867.14,4,Haut standing,Petit,2023,1,1
ANO000015,2023-01-09,Appartement 77m² Kenitra,Kénitra,Centre,Appartement,Location,2144.49,77.47,2,1,2,1998,27.68,28,Économique,Petit,2023,1,1
ANO000497,2023-01-10,Villa 351m² M'diq,Tétouan,M'diq,Villa,Vente,1437171.84,351.01,4,2,0,2005,4094.39,21,Moyen,Grand,2023,1,1
ANO001491,2023-01-10,Appartement moderne Casablanca,Casablanca,Ain Diab,Appartement,Vente,588782.26,117.1,2,2,1,2019,5028.03,7,Moyen,Moyen,2023,1,1
ANO001262,2023-01-10,Terrain à location - Meknès,Meknès,Hamria,Terrain,Location,1793.32,355.72,0,0,0,2005,5.04,21,Économique,Grand,2023,1,1
ANO000556,2023-01-11,Appartement moderne Tanger,Tanger,Centre Ville,Appartement,Vente,547255.83,60.02,4,1,3,2010,9117.89,16,Moyen,Petit,2023,1,1
ANO001051,2023-01-12,Appartement à location - Casablanca,Casablanca,Bourgogne,Appartement,Location,2604.15,75.77,2,2,5,2003,34.37,23,Économique,Petit,2023,1,1
ANO001487,2023-01-12,Villa 302m² Malabata,Tanger,Malabata,Villa,Location,14690.93,302.96,5,2,0,2019,48.49,7,Haut standing,Grand,2023,1,1
